Date,Time,Produced,Demand,Depriciation
25-03-2021,02:00:00,10696,10696,0.00
25-03-2021,01:00:00,11189,11189,0.00
24-03-2021,24:00:00,11832,11832,0.00
24-03-2021,23:00:00,12043,12043,0.00
24-03-2021,22:00:00,12445,12445,0.00
24-03-2021,21:00:00,12790,12790,0.00
24-03-2021,20:00:00,12711,12711,0.00
24-03-2021,19:30:00,12624,12624,0.00
24-03-2021,19:00:00,12520,12520,0.00
24-03-2021,18:00:00,11113,11113,0.00
24-03-2021,17:00:00,11085,11085,0.00
24-03-2021,16:00:00,11314,11314,0.00
24-03-2021,15:00:00,11495,11495,0.00
24-03-2021,14:00:00,11229,11229,0.00
24-03-2021,13:00:00,11219,11219,0.00
24-03-2021,12:00:00,11126,11126,0.00
24-03-2021,11:00:00,10775,10775,0.00
24-03-2021,10:00:00,10315,10315,0.00
24-03-2021,09:00:00,9987,9987,0.00
24-03-2021,08:00:00,9590,9590,0.00
24-03-2021,07:00:00,9527,9527,0.00
24-03-2021,06:00:00,9488,9488,0.00
24-03-2021,05:00:00,9585,9585,0.00
24-03-2021,04:00:00,9676,9676,0.00
24-03-2021,03:00:00,9959,9959,0.00
24-03-2021,02:00:00,10383,10383,0.00
24-03-2021,01:00:00,10788,10788,0.00
23-03-2021,24:00:00,11356,11356,0.00
23-03-2021,23:00:00,11847,11847,0.00
23-03-2021,22:00:00,12178,12178,0.00
23-03-2021,21:00:00,12406,12406,0.00
23-03-2021,20:00:00,12606,12606,0.00
23-03-2021,19:30:00,12643,12643,0.00
23-03-2021,19:00:00,12463,12463,0.00
